Passo,Sucetivel,Infectado,Exposto,Removido
562,128,872,0,0
563,118,882,0,0
564,125,875,0,0
565,139,861,0,0
566,132,868,0,0
567,129,871,0,0
568,144,856,0,0
569,118,882,0,0
570,122,878,0,0
571,114,886,0,0
572,122,878,0,0
573,125,875,0,0
574,125,875,0,0
575,119,881,0,0
576,125,875,0,0
577,128,872,0,0
578,119,881,0,0
579,118,882,0,0
580,120,880,0,0
581,128,872,0,0
582,135,865,0,0
583,132,868,0,0
584,117,883,0,0
585,119,881,0,0
586,134,866,0,0
587,139,861,0,0
588,140,860,0,0
589,130,870,0,0
590,126,874,0,0
591,128,872,0,0
592,114,886,0,0
593,111,889,0,0
594,120,880,0,0
595,112,888,0,0
596,108,892,0,0
597,104,896,0,0
598,104,896,0,0
599,112,888,0,0
600,107,893,0,0
601,136,864,0,0
602,137,863,0,0
603,114,886,0,0
604,112,888,0,0
605,138,862,0,0
606,113,887,0,0
607,104,896,0,0
608,126,874,0,0
609,132,868,0,0
610,121,879,0,0
611,132,868,0,0
612,152,848,0,0
613,118,882,0,0
614,118,882,0,0
615,129,871,0,0
616,120,880,0,0
617,136,864,0,0
618,136,864,0,0
619,154,846,0,0
620,128,872,0,0
621,115,885,0,0
622,134,866,0,0
623,122,878,0,0
624,139,861,0,0
625,137,863,0,0
626,141,859,0,0
627,127,873,0,0
628,137,863,0,0
629,133,867,0,0
630,119,881,0,0
631,127,873,0,0
632,128,872,0,0
633,130,870,0,0
634,129,871,0,0
635,110,890,0,0
636,109,891,0,0
637,128,872,0,0
638,101,899,0,0
639,133,867,0,0
640,121,879,0,0
641,139,861,0,0
642,135,865,0,0
643,117,883,0,0
644,136,864,0,0
645,133,867,0,0
646,120,880,0,0
647,123,877,0,0
648,122,878,0,0
649,130,870,0,0
650,134,866,0,0
651,133,867,0,0
652,140,860,0,0
653,132,868,0,0
654,129,871,0,0
655,119,881,0,0
656,126,874,0,0
657,128,872,0,0
658,129,871,0,0
659,126,874,0,0
660,136,864,0,0
661,127,873,0,0
662,137,863,0,0
663,112,888,0,0
664,121,879,0,0
665,105,895,0,0
666,117,883,0,0
667,125,875,0,0
668,128,872,0,0
669,117,883,0,0
670,128,872,0,0
671,125,875,0,0
672,128,872,0,0
673,119,881,0,0
674,131,869,0,0
675,133,867,0,0
676,123,877,0,0
677,126,874,0,0
678,125,875,0,0
679,134,866,0,0
680,120,880,0,0
681,129,871,0,0
682,123,877,0,0
683,115,885,0,0
684,106,894,0,0
685,122,878,0,0
686,118,882,0,0
687,139,861,0,0
688,143,857,0,0
689,134,866,0,0
690,134,866,0,0
691,134,866,0,0
692,123,877,0,0
693,138,862,0,0
694,122,878,0,0
695,135,865,0,0
696,130,870,0,0
697,126,874,0,0
698,107,893,0,0
699,125,875,0,0
700,117,883,0,0
701,124,876,0,0
702,132,868,0,0
703,105,895,0,0
704,106,894,0,0
705,118,882,0,0
706,100,900,0,0
707,119,881,0,0
708,114,886,0,0
709,125,875,0,0
710,138,862,0,0
711,116,884,0,0
712,131,869,0,0
713,118,882,0,0
714,134,866,0,0
715,149,851,0,0
716,134,866,0,0
717,145,855,0,0
718,127,873,0,0
719,136,864,0,0
720,128,872,0,0
721,137,863,0,0
722,116,884,0,0
723,123,877,0,0
724,127,873,0,0
725,139,861,0,0
726,133,867,0,0
727,127,873,0,0
728,128,872,0,0
729,133,867,0,0
730,151,849,0,0
731,117,883,0,0
732,144,856,0,0
733,141,859,0,0
734,137,863,0,0
735,146,854,0,0
736,140,860,0,0
737,133,867,0,0
738,123,877,0,0
739,123,877,0,0
740,141,859,0,0
741,156,844,0,0
742,134,866,0,0
743,132,868,0,0
744,125,875,0,0
745,110,890,0,0
746,129,871,0,0
747,123,877,0,0
748,139,861,0,0
749,153,847,0,0
750,128,872,0,0
751,140,860,0,0
752,128,872,0,0
753,118,882,0,0
754,129,871,0,0
755,134,866,0,0
756,127,873,0,0
757,129,871,0,0
758,113,887,0,0
759,108,892,0,0
760,131,869,0,0
761,118,882,0,0
762,114,886,0,0
763,122,878,0,0
764,130,870,0,0
765,128,872,0,0
766,115,885,0,0
767,120,880,0,0
768,126,874,0,0
769,130,870,0,0
770,133,867,0,0
771,122,878,0,0
772,120,880,0,0
773,123,877,0,0
774,152,848,0,0
775,123,877,0,0
776,133,867,0,0
777,134,866,0,0
778,147,853,0,0
779,155,845,0,0
780,134,866,0,0
781,116,884,0,0
782,129,871,0,0
783,136,864,0,0
784,130,870,0,0
785,124,876,0,0
786,119,881,0,0
787,133,867,0,0
788,157,843,0,0
789,147,853,0,0
790,121,879,0,0
791,132,868,0,0
792,124,876,0,0
793,138,862,0,0
794,138,862,0,0
795,105,895,0,0
796,141,859,0,0
797,162,838,0,0
798,133,867,0,0
799,117,883,0,0
800,119,881,0,0
801,109,891,0,0
802,128,872,0,0
803,116,884,0,0
804,123,877,0,0
805,128,872,0,0
806,136,864,0,0
807,130,870,0,0
808,147,853,0,0
809,143,857,0,0
810,131,869,0,0
811,126,874,0,0
812,127,873,0,0
813,120,880,0,0
814,117,883,0,0
815,133,867,0,0
816,131,869,0,0
817,133,867,0,0
818,125,875,0,0
819,148,852,0,0
820,128,872,0,0
821,134,866,0,0
822,109,891,0,0
823,110,890,0,0
824,120,880,0,0
825,130,870,0,0
826,136,864,0,0
827,125,875,0,0
828,113,887,0,0
829,120,880,0,0
830,136,864,0,0
831,141,859,0,0
832,125,875,0,0
833,127,873,0,0
834,139,861,0,0
835,154,846,0,0
836,140,860,0,0
837,143,857,0,0
838,130,870,0,0
839,120,880,0,0
840,136,864,0,0
841,112,888,0,0
842,108,892,0,0
843,119,881,0,0
844,119,881,0,0
845,139,861,0,0
846,149,851,0,0
847,133,867,0,0
848,124,876,0,0
849,112,888,0,0
850,133,867,0,0
851,124,876,0,0
852,136,864,0,0
853,128,872,0,0
854,119,881,0,0
855,119,881,0,0
856,108,892,0,0
857,125,875,0,0
858,114,886,0,0
859,121,879,0,0
860,125,875,0,0
861,126,874,0,0
862,122,878,0,0
863,125,875,0,0
864,136,864,0,0
865,101,899,0,0
